step_idx,power_dbm_requested,packet_idx_in_step,tx_id,send_ts_ns,done_ts_ns,elapsed_us,outcome,status_code,toa_us,lbt_enabled,inter_cycle_s,cfg_set_age_ms,host_loop_iter_us,python_rss_kb
2,4,22,0x16,270768066106125,270768109957250,43851,ok,0,25728,0,0.0500,2031,88673,0
2,4,23,0x17,270768161643125,270768204341625,42698,ok,0,25728,0,0.0500,2127,95537,0
2,4,24,0x18,270768255491500,270768299461000,43969,ok,0,25728,0,0.0500,2220,93848,0
2,4,25,0x19,270768350966250,270768392449500,41483,ok,0,25728,0,0.0500,2316,95474,0
2,4,26,0x1a,270768443026875,270768481574250,38547,ok,0,25728,0,0.0500,2408,92060,0
2,4,27,0x1b,270768531867125,270768569000750,37133,ok,0,25728,0,0.0500,2497,88840,0
2,4,28,0x1c,270768619831250,270768658021625,38190,ok,0,25728,0,0.0500,2585,87964,0
2,4,29,0x1d,270768708758500,270768745916375,37157,ok,0,25728,0,0.0500,2674,88927,0
2,4,30,0x1e,270768797643750,270768841832750,44189,ok,0,25728,0,0.0500,2763,88885,0
2,4,31,0x1f,270768893525500,270768937881625,44356,ok,0,25728,0,0.0500,2858,95881,0
2,4,32,0x20,270768989501625,270769033469625,43968,ok,0,25728,0,0.0500,2954,95976,0
2,4,33,0x21,270769084469125,270769124313125,39844,ok,0,25728,0,0.0500,3049,94967,0
2,4,34,0x22,270769175475125,270769219532875,44057,ok,0,25728,0,0.0500,3140,91006,0
2,4,35,0x23,270769270713000,270769310377875,39664,ok,0,25728,0,0.0500,3236,95237,0
2,4,36,0x24,270769362069625,270769406129250,44059,ok,0,25728,0,0.0500,3327,91356,0
2,4,37,0x25,270769457131750,270769496933125,39801,ok,0,25728,0,0.0500,3422,95062,0
2,4,38,0x26,270769548805750,270769592766125,43960,ok,0,25728,0,0.0500,3514,91674,0
2,4,39,0x27,270769643782625,270769684145625,40363,ok,0,25728,0,0.0500,3609,94976,0
2,4,40,0x28,270769735859125,270769779944125,44085,ok,0,25728,0,0.0500,3701,92076,0
2,4,41,0x29,270769831721250,270769875377875,43656,ok,0,25728,0,0.0500,3797,95862,0
2,4,42,0x2a,270769927063625,270769968915125,41851,ok,0,25728,0,0.0500,3892,95342,0
2,4,43,0x2b,270770019496625,270770057637625,38141,ok,0,25728,0,0.0500,3984,92433,0
2,4,44,0x2c,270770108621250,270770148762250,40141,ok,0,25728,0,0.0500,4074,89124,0
2,4,45,0x2d,270770199868125,270770239884500,40016,ok,0,25728,0,0.0500,4165,91246,0
2,4,46,0x2e,270770291069500,270770331042875,39973,ok,0,25728,0,0.0500,4256,91201,0
2,4,47,0x2f,270770382568250,270770420388500,37820,ok,0,25728,0,0.0500,4348,91498,0
2,4,48,0x30,270770470971000,270770508836625,37865,ok,0,25728,0,0.0500,4436,88402,0
2,4,49,0x31,270770560742125,270770604976125,44234,ok,0,25728,0,0.0500,4526,89771,0
3,5,0,0x00,270770716918625,270770754198500,37279,ok,0,25728,0,0.0500,22,156176,0
3,5,1,0x01,270770805906625,270770850256750,44350,ok,0,25728,0,0.0500,111,88988,0
3,5,2,0x02,270770901001875,270770937926750,36924,ok,0,25728,0,0.0500,206,95095,0
3,5,3,0x03,270770989474125,270771032821750,43347,ok,0,25728,0,0.0500,294,88472,0
3,5,4,0x04,270771084916000,270771128632375,43716,ok,0,25728,0,0.0500,390,95441,0
3,5,5,0x05,270771180582750,270771225480375,44897,ok,0,25728,0,0.0500,485,95666,0
3,5,6,0x06,270771277241125,270771320495500,43254,ok,0,25728,0,0.0500,582,96658,0
3,5,7,0x07,270771371806125,270771415403375,43597,ok,0,25728,0,0.0500,677,94565,0
