Password: MODE: rx_listen
dev=/dev/ttymxc3 baud=921600
RUNTIME_PROFILE_ENUM=ERR request_failed:TimeoutError
=== W1-10b probe RX_LISTEN: window=79.0s ===
INFO: drained type=0xA0 seq=1 during boot settle
INFO: drained type=0xA0 seq=2 during boot settle
RX_LISTEN: STATS(before) radio_rx_ok=2442 radio_crc_err=11 radio_state=4
RX_LISTEN: RegOpMode(pre)=0x80 (expected 0x85)
__V2_AUTOWAKE__ opmode_pre=0x80 opmode_post=0x85 action=write
__W1_10B_LISTEN_READY__
__RX_FRAME__ idx=75 rssi=-118 snr=-4 len=17 timestamp_us=3125425581 payload_hex=5750207330312070303320693030323420
__RX_FRAME__ idx=76 rssi=-119 snr=-3 len=17 timestamp_us=3125517478 payload_hex=5750207330312070303320693030323520
__RX_FRAME__ idx=77 rssi=-118 snr=-3 len=17 timestamp_us=3125608435 payload_hex=5750207330312070303320693030323620
__RX_FRAME__ idx=78 rssi=-118 snr=-3 len=17 timestamp_us=3125703954 payload_hex=5750207330312070303320693030323720
__RX_FRAME__ idx=79 rssi=-118 snr=-3 len=17 timestamp_us=3125795757 payload_hex=5750207330312070303320693030323820
__RX_FRAME__ idx=80 rssi=-118 snr=-4 len=17 timestamp_us=3125891116 payload_hex=5750207330312070303320693030323920
__RX_FRAME__ idx=81 rssi=-118 snr=-4 len=17 timestamp_us=3125982530 payload_hex=5750207330312070303320693030333020
__RX_FRAME__ idx=82 rssi=-119 snr=-4 len=17 timestamp_us=3126077873 payload_hex=5750207330312070303320693030333120
__RX_FRAME__ idx=83 rssi=-118 snr=-3 len=17 timestamp_us=3126166924 payload_hex=5750207330312070303320693030333220
__RX_FRAME__ idx=84 rssi=-118 snr=-3 len=17 timestamp_us=3126262038 payload_hex=5750207330312070303320693030333320
__RX_FRAME__ idx=85 rssi=-118 snr=-3 len=17 timestamp_us=3126354391 payload_hex=5750207330312070303320693030333420
__RX_FRAME__ idx=86 rssi=-118 snr=-3 len=17 timestamp_us=3126449543 payload_hex=5750207330312070303320693030333520
__RX_FRAME__ idx=87 rssi=-118 snr=-3 len=17 timestamp_us=3126538840 payload_hex=5750207330312070303320693030333620
__RX_FRAME__ idx=88 rssi=-118 snr=-3 len=17 timestamp_us=3126629888 payload_hex=5750207330312070303320693030333720
__RX_FRAME__ idx=89 rssi=-118 snr=-3 len=17 timestamp_us=3126725177 payload_hex=5750207330312070303320693030333820
__RX_FRAME__ idx=90 rssi=-118 snr=-4 len=17 timestamp_us=3126816713 payload_hex=5750207330312070303320693030333920
__RX_FRAME__ idx=91 rssi=-118 snr=-4 len=17 timestamp_us=3126908161 payload_hex=5750207330312070303320693030343020
