=== W2-02 TX: 344 fragments, uart=/dev/ttymxc3 ===
__W2_02_TX_FRAG__ idx=33 tx_id=0x21 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd0010ab214f2b26a4a230080160200940169d00d65aa3915663202000e8799a0c6a2608de267364fefa2bc961a368e5446dd93db5b40e66ad50b3750e679617
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=34 tx_id=0x22 status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fd0011ab209800004752494646400000005745425056503820340000001003009d012a200020003f0178b5542b2725232808016020096500ce3819c9c2c000fe
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=35 tx_id=0x23 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd0011ab219800004752494646400000005745425056503820340000001003009d012a200020003f0178b5542b2725232808016020096500ce3819c9c2c000fe
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=36 tx_id=0x24 status=0(OK) toa_us=59008 elapsed_ms=73.8 payload_hex=fd0012ab20cc5aa477cec7bf01aef47bef411c8d00004b52494646440000005745425056503820380000003003009d012a200020003f0172b2522b26aa22a80a
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=37 tx_id=0x25 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd0012ab21cc5aa477cec7bf01aef47bef411c8d00004b52494646440000005745425056503820380000003003009d012a200020003f0172b2522b26aa22a80a
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=38 tx_id=0x26 status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fd0013ab20a96020096500ca00190e769c0000fed7e39a28155fdf519f2cef66e6cd895a90000000695249464662000000574542505650382056000000700400
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=39 tx_id=0x27 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd0013ab21a96020096500ca00190e769c0000fed7e39a28155fdf519f2cef66e6cd895a90000000695249464662000000574542505650382056000000700400
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=40 tx_id=0x28 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd0014ab209d012a200020003f0168aa4eab25a3a23008016020096500bb0014ab2792bec5e346fe41c2e44fcb1000dad8237c674355661bddb3dc664c57a7dc
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=41 tx_id=0x29 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd0014ab219d012a200020003f0168aa4eab25a3a23008016020096500bb0014ab2792bec5e346fe41c2e44fcb1000dad8237c674355661bddb3dc664c57a7dc
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=42 tx_id=0x2A status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd0015ab20ccad0b88f3f9eb27d3f3297efbbc8e603d3c0ec72200000073524946466c0000005745425056503820600000003004009d012a200020003ef568a9
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=43 tx_id=0x2B status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd0015ab21ccad0b88f3f9eb27d3f3297efbbc8e603d3c0ec72200000073524946466c0000005745425056503820600000003004009d012a200020003ef568a9
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=44 tx_id=0x2C status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd0016ab204eaaa62422300c01501e896500cfa07f5f6169bed3b0340e5e30800000fef9dac01e83b46687ab04ed50d98370edd8400d5b42e1d9a11dfbdf9c4b
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=45 tx_id=0x2D status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd0016ab214eaaa62422300c01501e896500cfa07f5f6169bed3b0340e5e30800000fef9dac01e83b46687ab04ed50d98370edd8400d5b42e1d9a11dfbdf9c4b
INFO: unrelated frame during TX wait type=0xC0
