Password: MODE: rx_listen
dev=/dev/ttymxc3 baud=921600
RUNTIME_PROFILE_ENUM=ERR request_failed:TimeoutError
=== W1-10b probe RX_LISTEN: window=55.0s ===
INFO: drained type=0xA0 seq=1 during boot settle
INFO: drained type=0xA0 seq=2 during boot settle
RX_LISTEN: STATS(before) radio_rx_ok=3906 radio_crc_err=16 radio_state=4
RX_LISTEN: RegOpMode(pre)=0x80 (expected 0x85)
__V2_AUTOWAKE__ opmode_pre=0x80 opmode_post=0x85 action=write
__W1_10B_LISTEN_READY__
__RX_FRAME__ idx=114 rssi=-118 snr=-2 len=17 timestamp_us=3311088341 payload_hex=5750207330322070303420693030323920
__RX_FRAME__ idx=115 rssi=-118 snr=-2 len=17 timestamp_us=3311146209 payload_hex=5750207330322070303420693030333020
__RX_FRAME__ idx=116 rssi=-118 snr=-3 len=17 timestamp_us=3311207522 payload_hex=5750207330322070303420693030333120
__RX_FRAME__ idx=117 rssi=-118 snr=-3 len=17 timestamp_us=3311266206 payload_hex=5750207330322070303420693030333220
__RX_FRAME__ idx=118 rssi=-118 snr=-3 len=17 timestamp_us=3311331888 payload_hex=5750207330322070303420693030333320
__RX_FRAME__ idx=119 rssi=-117 snr=-2 len=17 timestamp_us=3311391566 payload_hex=5750207330322070303420693030333420
__RX_FRAME__ idx=120 rssi=-118 snr=-3 len=17 timestamp_us=3311561737 payload_hex=5750207330322070303420693030333820
__RX_FRAME__ idx=121 rssi=-119 snr=-3 len=17 timestamp_us=3311627175 payload_hex=5750207330322070303420693030333920
__RX_FRAME__ idx=122 rssi=-118 snr=-3 len=17 timestamp_us=3311688081 payload_hex=5750207330322070303420693030343020
__RX_FRAME__ idx=123 rssi=-119 snr=-2 len=17 timestamp_us=3311748380 payload_hex=5750207330322070303420693030343120
__RX_FRAME__ idx=124 rssi=-118 snr=-3 len=17 timestamp_us=3311807470 payload_hex=5750207330322070303420693030343220
__RX_FRAME__ idx=125 rssi=-118 snr=-2 len=17 timestamp_us=3311866033 payload_hex=5750207330322070303420693030343320
