Password: MODE: rx_listen
dev=/dev/ttymxc3 baud=921600
RUNTIME_PROFILE_ENUM=ERR request_failed:TimeoutError
=== W1-10b probe RX_LISTEN: window=79.0s ===
INFO: drained type=0xA0 seq=1 during boot settle
INFO: drained type=0xA0 seq=2 during boot settle
RX_LISTEN: STATS(before) radio_rx_ok=3213 radio_crc_err=14 radio_state=4
RX_LISTEN: RegOpMode(pre)=0x80 (expected 0x85)
__V2_AUTOWAKE__ opmode_pre=0x80 opmode_post=0x85 action=write
__W1_10B_LISTEN_READY__
__RX_FRAME__ idx=136 rssi=-117 snr=-3 len=17 timestamp_us=3221088950 payload_hex=5750207330322070303420693030333620
__RX_FRAME__ idx=137 rssi=-118 snr=-3 len=17 timestamp_us=3221193090 payload_hex=5750207330322070303420693030333720
__RX_FRAME__ idx=138 rssi=-118 snr=-2 len=17 timestamp_us=3221300287 payload_hex=5750207330322070303420693030333820
__RX_FRAME__ idx=139 rssi=-118 snr=-3 len=17 timestamp_us=3221408504 payload_hex=5750207330322070303420693030333920
__RX_FRAME__ idx=140 rssi=-118 snr=-2 len=17 timestamp_us=3221501682 payload_hex=5750207330322070303420693030343020
__RX_FRAME__ idx=141 rssi=-118 snr=-3 len=17 timestamp_us=3221603900 payload_hex=5750207330322070303420693030343120
__RX_FRAME__ idx=142 rssi=-118 snr=-2 len=17 timestamp_us=3221703090 payload_hex=5750207330322070303420693030343220
__RX_FRAME__ idx=143 rssi=-118 snr=-3 len=17 timestamp_us=3221811305 payload_hex=5750207330322070303420693030343320
__RX_FRAME__ idx=144 rssi=-119 snr=-3 len=17 timestamp_us=3221901451 payload_hex=5750207330322070303420693030343420
__RX_FRAME__ idx=145 rssi=-118 snr=-3 len=17 timestamp_us=3222117812 payload_hex=5750207330322070303420693030343620
__RX_FRAME__ idx=146 rssi=-118 snr=-2 len=17 timestamp_us=3222206949 payload_hex=5750207330322070303420693030343720
__RX_FRAME__ idx=147 rssi=-118 snr=-3 len=17 timestamp_us=3222314127 payload_hex=5750207330322070303420693030343820
__RX_FRAME__ idx=148 rssi=-118 snr=-3 len=17 timestamp_us=3222416305 payload_hex=5750207330322070303420693030343920
__RX_FRAME__ idx=149 rssi=-117 snr=-2 len=17 timestamp_us=3222570612 payload_hex=5750207330332070303520693030303020
__RX_FRAME__ idx=150 rssi=-118 snr=-2 len=17 timestamp_us=3222672792 payload_hex=5750207330332070303520693030303120
