# === FCC-B2-b ARTIFACT HEADER BEGIN (v1) ===
# firmware_git_sha: 68bc6070e969b76f3c3cbd3ffb4cb9d3e625c11a
# firmware_git_sha_short: 68bc6070e969
# build_timestamp_utc: 2026-05-20T23:56:08Z
# profile_enum: 0
# profile_string: REG_PROFILE_BENCH_ONLY_FIXED_915
# rfco_summary_schema_ver: 1
# rfco_pertx_schema_ver: 1
# header_schema_ver: 1
# === FCC-B2-b ARTIFACT HEADER END ===

Password: MODE: rx_listen
dev=/dev/ttymxc3 baud=921600
RUNTIME_PROFILE_ENUM=ERR request_failed:TimeoutError
=== W1-10b probe RX_LISTEN: window=120.0s ===
INFO: drained type=0xA0 seq=1 during boot settle
RX_LISTEN: STATS(before) radio_rx_ok=993 radio_crc_err=5 radio_state=4
RX_LISTEN: RegOpMode(pre)=0x80 (expected 0x85)
__V2_AUTOWAKE__ opmode_pre=0x80 opmode_post=0x85 action=write
__W1_10B_LISTEN_READY__
__RX_FRAME__ idx=100 rssi=-118 snr=-6 len=17 timestamp_us=240107306 payload_hex=5750207330322070303420693030323020
__RX_FRAME__ idx=101 rssi=-119 snr=-6 len=17 timestamp_us=240277277 payload_hex=5750207330322070303420693030323420
__RX_FRAME__ idx=102 rssi=-119 snr=-6 len=17 timestamp_us=240335600 payload_hex=5750207330322070303420693030323520
__RX_FRAME__ idx=103 rssi=-119 snr=-6 len=17 timestamp_us=240394139 payload_hex=5750207330322070303420693030323620
__RX_FRAME__ idx=104 rssi=-119 snr=-6 len=17 timestamp_us=240458934 payload_hex=5750207330322070303420693030323720
__RX_FRAME__ idx=105 rssi=-119 snr=-5 len=17 timestamp_us=240517117 payload_hex=5750207330322070303420693030323820
__RX_FRAME__ idx=106 rssi=-119 snr=-6 len=17 timestamp_us=240576549 payload_hex=5750207330322070303420693030323920
__RX_FRAME__ idx=107 rssi=-118 snr=-6 len=17 timestamp_us=240635266 payload_hex=5750207330322070303420693030333020
__RX_FRAME__ idx=108 rssi=-119 snr=-6 len=17 timestamp_us=240695890 payload_hex=5750207330322070303420693030333120
__RX_FRAME__ idx=109 rssi=-119 snr=-6 len=17 timestamp_us=240754005 payload_hex=5750207330322070303420693030333220
__RX_FRAME__ idx=110 rssi=-119 snr=-5 len=17 timestamp_us=240814110 payload_hex=5750207330322070303420693030333320
__RX_FRAME__ idx=111 rssi=-119 snr=-5 len=17 timestamp_us=240878865 payload_hex=5750207330322070303420693030333420
