Starting synthetic camera publisher (broker=127.0.0.1, fps=20.0, duration=130.0s, budget=250B)...
[321] Publishing synthetic frame of size 141 bytes...

[322] Publishing synthetic frame of size 151 bytes...

[323] Publishing synthetic frame of size 149 bytes...

[324] Publishing synthetic frame of size 155 bytes...

[325] Publishing synthetic frame of size 163 bytes...

[326] Publishing synthetic frame of size 163 bytes...

[327] Publishing synthetic frame of size 161 bytes...

[328] Publishing synthetic frame of size 163 bytes...

[329] Publishing synthetic frame of size 175 bytes...

[330] Publishing synthetic frame of size 185 bytes...

[331] Publishing synthetic frame of size 179 bytes...

[332] Publishing synthetic frame of size 183 bytes...

[333] Publishing synthetic frame of size 193 bytes...

[334] Publishing synthetic frame of size 193 bytes...

[335] Publishing synthetic frame of size 187 bytes...

[336] Publishing synthetic frame of size 185 bytes...

[337] Publishing synthetic frame of size 209 bytes...

[338] Publishing synthetic frame of size 229 bytes...

[339] Publishing synthetic frame of size 227 bytes...

[340] Publishing synthetic frame of size 235 bytes...

[341] Publishing synthetic frame of size 251 bytes...

[342] Publishing synthetic frame of size 247 bytes...

[343] Publishing synthetic frame of size 227 bytes...

[344] Publishing synthetic frame of size 223 bytes...

[345] Publishing synthetic frame of size 243 bytes...

[346] Publishing synthetic frame of size 275 bytes...

[347] Publishing synthetic frame of size 247 bytes...

[348] Publishing synthetic frame of size 255 bytes...

[349] Publishing synthetic frame of size 271 bytes...

[350] Publishing synthetic frame of size 261 bytes...

[351] Publishing synthetic frame of size 247 bytes...

[352] Publishing synthetic frame of size 229 bytes...

[353] Publishing synthetic frame of size 261 bytes...

[354] Publishing synthetic frame of size 275 bytes...

[355] Publishing synthetic frame of size 253 bytes...

[356] Publishing synthetic frame of size 249 bytes...

[357] Publishing synthetic frame of size 273 bytes...

[358] Publishing synthetic frame of size 247 bytes...

[359] Publishing synthetic frame of size 233 bytes...

[360] Publishing synthetic frame of size 223 bytes...

[361] Publishing synthetic frame of size 241 bytes...

[362] Publishing synthetic frame of size 245 bytes...

[363] Publishing synthetic frame of size 227 bytes...

[364] Publishing synthetic frame of size 221 bytes...

[365] Publishing synthetic frame of size 219 bytes...

[366] Publishing synthetic frame of size 201 bytes...

[367] Publishing synthetic frame of size 181 bytes...

[368] Publishing synthetic frame of size 187 bytes...

[369] Publishing synthetic frame of size 189 bytes...

[370] Publishing synthetic frame of size 201 bytes...

[371] Publishing synthetic frame of size 181 bytes...

[372] Publishing synthetic frame of size 177 bytes...

[373] Publishing synthetic frame of size 183 bytes...

[374] Publishing synthetic frame of size 173 bytes...

[375] Publishing synthetic frame of size 167 bytes...

[376] Publishing synthetic frame of size 163 bytes...

[377] Publishing synthetic frame of size 165 bytes...

[378] Publishing synthetic frame of size 165 bytes...

[379] Publishing synthetic frame of size 262 bytes...

[380] Publishing synthetic frame of size 268 bytes...

[381] Publishing synthetic frame of size 256 bytes...

[382] Publishing synthetic frame of size 248 bytes...

[383] Publishing synthetic frame of size 244 bytes...

[384] Publishing synthetic frame of size 240 bytes...

[385] Publishing synthetic frame of size 240 bytes...

[386] Publishing synthetic frame of size 240 bytes...

[387] Publishing synthetic frame of size 236 bytes...

[388] Publishing synthetic frame of size 238 bytes...

[389] Publishing synthetic frame of size 236 bytes...

[390] Publishing synthetic frame of size 230 bytes...

[391] Publishing synthetic frame of size 226 bytes...

[392] Publishing synthetic frame of size 228 bytes...

[393] Publishing synthetic frame of size 228 bytes...

[394] Publishing synthetic frame of size 230 bytes...

[395] Publishing synthetic frame of size 226 bytes...

[396] Publishing synthetic frame of size 224 bytes...

[397] Publishing synthetic frame of size 244 bytes...

[398] Publishing synthetic frame of size 240 bytes...

[399] Publishing synthetic frame of size 238 bytes...

[400] Publishing synthetic frame of size 238 bytes...

[401] Publishing synthetic frame of size 240 bytes...

[402] Publishing synthetic frame of size 240 bytes...

[403] Publishing synthetic frame of size 238 bytes...

[404] Publishing synthetic frame of size 236 bytes...

[405] Publishing synthetic frame of size 236 bytes...

[406] Publishing synthetic frame of size 238 bytes...

